year,round,category_encoded,institute_type_encoded,actual_closing_rank,predicted_closing_rank,residual,abs_error,pct_error
2025,4,0,0,18065.0,19210,-1145.23418901701,1145.23418901701,6.339519452073125
2025,5,0,0,18065.0,19170,-1105.0373239376459,1105.0373239376459,6.117007051965934
2025,6,0,0,23746.0,22254,1491.827279885787,1491.827279885787,6.282436115075327
2025,1,1,0,17591.0,18672,-1081.1346616607589,1081.1346616607589,6.14595339469478
2025,2,1,0,22835.0,23579,-744.1859816272045,744.1859816272045,3.258970797579174
2025,3,1,0,22835.0,23517,-681.9767158802242,681.9767158802242,2.986541343902887
2025,4,1,0,22835.0,23439,-603.891547229432,603.891547229432,2.6445874632337727
2025,5,1,0,22835.0,23437,-601.6001871402477,601.6001871402477,2.6345530419980197
2025,6,1,0,22835.0,23486,-650.8161178759328,650.8161178759328,2.8500815321915165
2025,1,1,0,17790.0,17655,135.25105037945104,135.25105037945104,0.7602644765567793
2025,2,1,0,20009.0,19776,232.90790752794783,232.90790752794783,1.1640157305609866
2025,3,1,0,21809.0,20800,1009.2610419713674,1009.2610419713674,4.6277272775980896
2025,4,1,0,21849.0,22021,-172.32157167959667,172.32157167959667,0.7886931744226129
2025,5,1,0,21979.0,22070,-91.25412516476354,91.25412516476354,0.415187793642857
2025,6,1,0,22756.0,22916,-159.8098673646673,159.8098673646673,0.7022757398693412
2025,1,1,0,70503.0,77119,-6616.336766474284,6616.336766474284,9.38447550667955
2025,2,1,0,70503.0,76399,-5896.115856481469,5896.115856481469,8.36292903349002
2025,3,1,0,73828.0,76848,-3020.386203102491,3020.386203102491,4.0911120484131915
2025,4,1,0,73828.0,77337,-3508.729292478354,3508.729292478354,4.752572590993057
2025,5,1,0,73828.0,77187,-3359.4476691017335,3359.4476691017335,4.55037068470192
2025,6,1,0,73828.0,77553,-3725.3190489718836,3725.3190489718836,5.045943339887148
2025,1,1,0,54835.0,54858,-22.86189814813406,22.86189814813406,0.04169216403416442
2025,2,1,0,69245.0,64409,4835.928961640202,4835.928961640202,6.9837951644742615
2025,3,1,0,74823.0,73237,1585.6152963879867,1585.6152963879867,2.119154934161938
2025,4,1,0,75620.0,76191,-570.539153225327,570.539153225327,0.7544818212448122
2025,5,1,0,77667.0,76791,875.7831892546528,875.7831892546528,1.1276130007012668
2025,6,1,0,81167.0,81842,-675.2526244588953,675.2526244588953,0.8319300016741967
2025,1,2,0,57126.0,58285,-1158.8004070677998,1158.8004070677998,2.0284991196089344
2025,2,2,0,57628.0,59251,-1623.0434630608506,1623.0434630608506,2.8164146995572477
2025,3,2,0,57628.0,58736,-1108.0161460414456,1108.0161460414456,1.922704494414947
2025,4,2,0,57628.0,58607,-979.4341029919087,979.4341029919087,1.699580243964581
